system,model,seed_count,ETS,TC,Tools,TQS,Reuse,LH
arise,gpt4o,1,0.3538,0.4848,0,0.0000,0.0000,0.2778
arise,haiku,1,0.5456,0.6515,13,0.3526,0.6667,0.5123
arise,sonnet,4,0.5361,0.6364,22,0.3399,0.7037,0.5174
arise,sonnet,4,0.5319,0.6616,20,0.3476,0.6667,0.4799
arise,sonnet,4,0.5383,0.6465,22,0.3488,0.7407,0.5062
arise,sonnet,4,0.5675,0.6515,20,0.3816,0.7778,0.5610
arise-v2,sonnet,1,0.5610,0.6263,15,0.4321,0.6296,0.5278
creator-style,sonnet,4,0.6235,0.7222,20,0.4641,0.6667,0.6270
creator-style,sonnet,4,0.5545,0.6717,25,0.4747,0.7778,0.4932
creator-style,sonnet,4,0.5797,0.6768,27,0.4335,0.6667,0.5761
creator-style,sonnet,4,0.5454,0.6364,22,0.4670,0.5556,0.4963
evoskill,gpt4o,1,0.3466,0.4848,0,0.0000,0.0000,0.2778
evoskill,sonnet,4,0.4394,0.6667,0,0.0000,0.5556,0.4074
evoskill,sonnet,4,0.4339,0.6717,0,0.0000,0.4444,0.3889
evoskill,sonnet,4,0.4476,0.6616,0,0.0000,0.4815,0.4321
evoskill,sonnet,4,0.4476,0.6768,0,0.0000,0.5185,0.4198
no-evolution,gpt4o,1,0.3466,0.4848,0,0.0000,0.0000,0.2778
no-evolution,haiku,1,0.4390,0.6667,0,0.0000,0.5185,0.4012
no-evolution,sonnet,4,0.4431,0.6667,0,0.0000,0.4815,0.4136
no-evolution,sonnet,4,0.4474,0.6869,0,0.0000,0.4444,0.4074
no-evolution,sonnet,4,0.4274,0.6717,0,0.0000,0.4444,0.3704
no-evolution,sonnet,4,0.4383,0.6768,0,0.0000,0.4815,0.3951
oneshot,gpt4o,1,0.3466,0.4848,0,0.0000,0.0000,0.2778
oneshot,sonnet,4,0.4411,0.6768,3,0.0401,0.4815,0.3827
oneshot,sonnet,4,0.4401,0.6566,3,0.0406,0.4444,0.3951
oneshot,sonnet,4,0.4587,0.6869,2,0.0448,0.4444,0.4167
oneshot,sonnet,4,0.4304,0.6768,4,0.0494,0.4074,0.3503
toolcoder-style,sonnet,1,0.5069,0.5455,17,0.4493,0.4444,0.4920
toolmaker-style,sonnet,1,0.4134,0.6364,0,0.0000,0.4074,0.3642
